fault_name,cluster_id,n_safe,n_unsafe,n_dims,n_facets,volume,chebyshev_radius,mogp_safe_rate
angle_bus7,2,16,24,7,45,0.010779608883598165,0.00841132062628175,
angle_bus8,2,25,15,7,129,0.004719992291231684,1.2439840925602713e-09,
angle_bus8,3,12,25,7,17,0.01846154270404124,3.0954987296453714e-09,
voltage_bus9,2,25,15,7,117,0.0047199923313014916,1.0587682232635073e-09,
voltage_bus9,5,8,19,7,8,0.13744036853821143,3.431283638248846e-10,
voltage_bus9,3,13,24,7,33,0.018272449709926628,3.861654537849305e-09,
voltage_bus10,4,8,19,7,8,0.0988834476276445,9.702236093890443e-10,
voltage_bus10,2,27,13,7,233,0.004805088228781869,6.180423030861662e-10,
voltage_bus10,5,8,19,7,8,0.13744036853821143,3.431283638248846e-10,
voltage_bus10,3,13,24,7,38,0.017701248953740367,2.479371877626347e-09,
freq_bus2,2,15,25,7,43,0.01077960872788664,6.069417294536042e-10,
freq_bus4,4,8,19,7,8,0.0988834476276445,9.702236093890443e-10,
freq_bus4,2,27,13,7,233,0.004805088228781869,6.180423030861662e-10,
freq_bus4,5,8,19,7,8,0.13744036853821143,3.431283638248846e-10,
freq_bus4,3,13,24,7,38,0.017701248953740367,2.479371877626347e-09,
