method,run,step,best_distance_to_threshold
BO,0,0,0.014601735278443218
BO,0,1,0.0012315758767130758
BO,0,2,0.0002897768919769561
BO,0,3,0.00012662394622986461
BO,0,4,0.00012662394622986461
BO,0,5,0.00012662394622986461
BO,0,6,0.00012662394622986461
BO,0,7,0.00012662394622986461
BO,0,8,4.317895976735375e-05
BO,0,9,4.317895976735375e-05
BO,0,10,4.317895976735375e-05
BO,0,11,4.317895976735375e-05
BO,0,12,4.317895976735375e-05
BO,0,13,4.317895976735375e-05
BO,0,14,4.317895976735375e-05
BO,0,15,4.317895976735375e-05
BO,0,16,4.317895976735375e-05
BO,0,17,4.317895976735375e-05
BO,0,18,4.317895976735375e-05
BO,0,19,4.317895976735375e-05
BO,0,20,4.317895976735375e-05
BO,1,0,0.014196774022361525
BO,1,1,0.014196774022361525
BO,1,2,0.014196774022361525
BO,1,3,0.014196774022361525
BO,1,4,0.014196774022361525
BO,1,5,0.014196774022361525
BO,1,6,0.0006808306966872291
BO,1,7,0.0006808306966872291
BO,1,8,0.0006808306966872291
BO,1,9,0.0006808306966872291
BO,1,10,0.0006808306966872291
BO,1,11,0.0006808306966872291
BO,1,12,0.0006808306966872291
BO,1,13,0.0006808306966872291
BO,1,14,0.0006808306966872291
BO,1,15,0.0006808306966872291
BO,1,16,0.0006808306966872291
BO,1,17,0.0006808306966872291
BO,1,18,0.0006808306966872291
BO,1,19,0.0006808306966872291
BO,1,20,0.0006808306966872291
BO,2,0,0.016982781898782995
BO,2,1,0.01162127003922453
BO,2,2,0.002830972096261708
BO,2,3,0.002830972096261708
BO,2,4,0.002830972096261708
BO,2,5,0.0017724910167324914
BO,2,6,0.0017724910167324914
BO,2,7,0.0017724910167324914
BO,2,8,0.0017724910167324914
BO,2,9,0.0003644531407791529
BO,2,10,0.0003644531407791529
BO,2,11,0.0003644531407791529
BO,2,12,0.0003644531407791529
BO,2,13,0.0003644531407791529
BO,2,14,0.0003644531407791529
BO,2,15,0.0003644531407791529
BO,2,16,0.0003644531407791529
BO,2,17,0.0003644531407791529
BO,2,18,0.0003644531407791529
BO,2,19,0.0003644531407791529
BO,2,20,0.0003644531407791529
BO,3,0,0.042402577574132905
BO,3,1,0.042402577574132905
BO,3,2,0.042402577574132905
BO,3,3,0.042402577574132905
BO,3,4,0.042402577574132905
BO,3,5,0.042402577574132905
BO,3,6,0.042402577574132905
BO,3,7,0.042402577574132905
BO,3,8,0.042402577574132905
BO,3,9,0.042402577574132905
BO,3,10,0.042402577574132905
BO,3,11,0.042402577574132905
BO,3,12,0.042402577574132905
BO,3,13,0.042402577574132905
BO,3,14,0.042402577574132905
BO,3,15,0.042402577574132905
BO,3,16,0.042402577574132905
BO,3,17,0.042402577574132905
BO,3,18,0.042402577574132905
BO,3,19,0.042402577574132905
BO,3,20,0.042402577574132905
Random,0,0,0.014601735278443218
Random,0,1,0.0051365865015012835
Random,0,2,0.0051365865015012835
Random,0,3,0.0051365865015012835
Random,0,4,0.0051365865015012835
Random,0,5,0.0051365865015012835
Random,0,6,0.0051365865015012835
Random,0,7,0.0051365865015012835
Random,0,8,0.0051365865015012835
Random,0,9,0.0051365865015012835
Random,0,10,0.0051365865015012835
Random,0,11,0.0051365865015012835
Random,0,12,0.0051365865015012835
Random,0,13,0.0051365865015012835
Random,0,14,0.0051365865015012835
Random,0,15,0.0051365865015012835
Random,0,16,0.0051365865015012835
Random,0,17,0.0051365865015012835
Random,0,18,0.0051365865015012835
Random,0,19,0.0051365865015012835
Random,0,20,0.0051365865015012835
Random,1,0,0.014196774022361525
Random,1,1,0.014196774022361525
Random,1,2,0.014196774022361525
Random,1,3,0.014196774022361525
Random,1,4,0.014196774022361525
Random,1,5,0.012414980662098563
Random,1,6,0.012414980662098563
Random,1,7,0.012414980662098563
Random,1,8,0.012414980662098563
Random,1,9,0.012414980662098563
Random,1,10,0.012414980662098563
Random,1,11,0.012414980662098563
Random,1,12,0.012414980662098563
Random,1,13,0.008261937630223426
Random,1,14,0.008261937630223426
Random,1,15,0.00372342388351099
Random,1,16,0.00372342388351099
Random,1,17,0.00372342388351099
Random,1,18,0.00372342388351099
Random,1,19,0.00372342388351099
Random,1,20,0.00372342388351099
Random,2,0,0.016982781898782995
Random,2,1,0.016982781898782995
Random,2,2,0.016982781898782995
Random,2,3,0.016982781898782995
Random,2,4,0.016982781898782995
Random,2,5,0.016982781898782995
Random,2,6,0.016982781898782995
Random,2,7,0.016982781898782995
Random,2,8,0.016982781898782995
Random,2,9,0.016982781898782995
Random,2,10,0.016982781898782995
Random,2,11,0.016982781898782995
Random,2,12,0.016982781898782995
Random,2,13,0.016982781898782995
Random,2,14,0.016982781898782995
Random,2,15,0.016982781898782995
Random,2,16,0.016982781898782995
Random,2,17,0.016982781898782995
Random,2,18,0.016982781898782995
Random,2,19,0.016982781898782995
Random,2,20,0.016982781898782995
Random,3,0,0.042402577574132905
Random,3,1,0.042402577574132905
Random,3,2,0.042402577574132905
Random,3,3,0.042402577574132905
Random,3,4,0.042402577574132905
Random,3,5,0.042402577574132905
Random,3,6,0.042402577574132905
Random,3,7,0.042402577574132905
Random,3,8,0.042402577574132905
Random,3,9,0.042402577574132905
Random,3,10,0.042402577574132905
Random,3,11,0.042402577574132905
Random,3,12,0.042402577574132905
Random,3,13,0.042402577574132905
Random,3,14,0.042402577574132905
Random,3,15,0.042402577574132905
Random,3,16,0.042402577574132905
Random,3,17,0.042402577574132905
Random,3,18,0.042402577574132905
Random,3,19,0.042402577574132905
Random,3,20,0.042402577574132905
LHS,0,0,0.014601735278443218
LHS,0,1,0.014601735278443218
LHS,0,2,0.014601735278443218
LHS,0,3,0.014601735278443218
LHS,0,4,0.014601735278443218
LHS,0,5,0.014601735278443218
LHS,0,6,0.014601735278443218
LHS,0,7,0.014601735278443218
LHS,0,8,0.012997701220212043
LHS,0,9,0.012997701220212043
LHS,0,10,0.012997701220212043
LHS,0,11,0.012997701220212043
LHS,0,12,0.012997701220212043
LHS,0,13,0.012997701220212043
LHS,0,14,0.012997701220212043
LHS,0,15,0.012997701220212043
LHS,0,16,0.012997701220212043
LHS,0,17,0.012997701220212043
LHS,0,18,0.012997701220212043
LHS,0,19,0.012997701220212043
LHS,0,20,0.012997701220212043
LHS,1,0,0.014196774022361525
LHS,1,1,0.014196774022361525
LHS,1,2,0.014196774022361525
LHS,1,3,0.014196774022361525
LHS,1,4,0.014196774022361525
LHS,1,5,0.014196774022361525
LHS,1,6,0.014196774022361525
LHS,1,7,0.014196774022361525
LHS,1,8,0.014196774022361525
LHS,1,9,0.014196774022361525
LHS,1,10,0.014196774022361525
LHS,1,11,0.014196774022361525
LHS,1,12,0.014196774022361525
LHS,1,13,0.014196774022361525
LHS,1,14,0.014196774022361525
LHS,1,15,0.014196774022361525
LHS,1,16,0.014196774022361525
LHS,1,17,0.014196774022361525
LHS,1,18,0.014196774022361525
LHS,1,19,0.014196774022361525
LHS,1,20,0.014196774022361525
LHS,2,0,0.016982781898782995
LHS,2,1,0.016982781898782995
LHS,2,2,0.016982781898782995
LHS,2,3,0.016982781898782995
LHS,2,4,0.016982781898782995
LHS,2,5,0.016982781898782995
LHS,2,6,0.016982781898782995
LHS,2,7,0.016982781898782995
LHS,2,8,0.016982781898782995
LHS,2,9,0.016982781898782995
LHS,2,10,0.016982781898782995
LHS,2,11,0.016982781898782995
LHS,2,12,0.016982781898782995
LHS,2,13,0.016982781898782995
LHS,2,14,0.016982781898782995
LHS,2,15,0.016982781898782995
LHS,2,16,0.016982781898782995
LHS,2,17,0.016982781898782995
LHS,2,18,0.016982781898782995
LHS,2,19,0.016982781898782995
LHS,2,20,0.016982781898782995
LHS,3,0,0.042402577574132905
LHS,3,1,0.042402577574132905
LHS,3,2,0.042402577574132905
LHS,3,3,0.042402577574132905
LHS,3,4,0.042402577574132905
LHS,3,5,0.042402577574132905
LHS,3,6,0.042402577574132905
LHS,3,7,0.042402577574132905
LHS,3,8,0.042402577574132905
LHS,3,9,0.042402577574132905
LHS,3,10,0.042402577574132905
LHS,3,11,0.042402577574132905
LHS,3,12,0.042402577574132905
LHS,3,13,0.042402577574132905
LHS,3,14,0.042402577574132905
LHS,3,15,0.042402577574132905
LHS,3,16,0.042402577574132905
LHS,3,17,0.042402577574132905
LHS,3,18,0.042402577574132905
LHS,3,19,0.042402577574132905
LHS,3,20,0.042402577574132905
