fault_name,cluster_id,round,n_safe,n_unsafe,n_facets,volume,volume_change_pct,safe_rate,n_new_points
angle_bus7,2,1,24,26,60,0.0030768691276804577,-71.45657916808,1.0,10
angle_bus7,2,2,30,30,248,0.007390783157548194,-31.43737182530135,1.0,10
angle_bus7,2,3,34,36,391,0.007765911402071308,-27.957391720513925,1.0,10
angle_bus8,2,1,30,20,118,0.0005899024042004718,-87.50204729579048,1.0,10
angle_bus8,2,2,32,28,198,0.000899779413081262,-80.93684570729533,1.0,10
angle_bus8,2,3,34,36,308,0.0011547869537728117,-75.53413475021864,1.0,10
angle_bus8,3,1,12,35,17,0.01846154270404124,0.0,1.0,10
angle_bus8,3,2,12,45,17,0.01846154270404124,0.0,1.0,10
angle_bus8,3,3,12,55,17,0.01846154270404124,0.0,1.0,10
voltage_bus9,2,1,26,24,103,0.005762731846587048,22.091974776535945,1.0,10
voltage_bus9,2,2,28,32,152,0.00046370572234630914,-90.17571025971462,1.0,10
voltage_bus9,2,3,28,42,152,0.00046370572234630914,-90.17571025971462,1.0,10
voltage_bus9,3,1,13,34,33,0.018272449709926628,0.0,1.0,10
voltage_bus9,3,2,13,44,33,0.018272449709926628,0.0,1.0,10
voltage_bus9,3,3,13,54,33,0.018272449709926628,0.0,1.0,10
voltage_bus9,4,1,9,28,13,0.09888344760850207,0.0,1.0,10
voltage_bus9,4,2,9,38,13,0.09888344760850207,0.0,1.0,10
voltage_bus9,4,3,9,48,13,0.09888344760850207,0.0,1.0,10
voltage_bus9,5,1,16,21,86,0.007282448682434174,-94.70137576034693,1.0,10
voltage_bus9,5,2,20,27,160,0.01505019353851436,-89.04965571717739,1.0,10
voltage_bus9,5,3,22,35,103,0.0008748357072455827,-99.36347980105833,1.0,10
