,PC1,PC2,PC3
wind_area1_pct,0.09928133585705486,0.41141186806239644,-0.22225398275532013
wind_area2_pct,-0.12750478498421602,0.36004518431373667,0.15481697415889467
solar_area1_pct,-0.014576569992086022,0.27421825080973605,0.18454686678413898
solar_area2_pct,-0.2058445179757563,0.032496989718338094,-0.18120880113411644
load_area1,-0.10068854086139793,-0.09115040827245079,0.56664248728653
load_area2,0.4127593898793947,-0.07448876811814521,-0.032685452700110654
gen_dispatch_bias,-0.01697511431656416,0.006857828584302146,0.2989538082291424
total_re_pct,-0.10480420888871075,0.522076809596934,-0.040903696072040134
net_flow_proxy,-0.3487276372296943,-0.0191913475024845,0.5221666120379974
inertia_proxy,0.016220125822874534,-0.5210508115218874,0.050178896822597324
stress_index,0.15883700533495265,0.24057287563052235,0.2969209154196618
severity,0.4827489187422177,0.04282890512887944,0.17810996727503953
f_angle,0.4583345923515406,0.02175206076526273,0.15261181559964662
f_freq,0.33899090700461865,0.07907690283540941,0.16789745528910288
f_voltage,0.18543335040915995,-0.00946836291872401,-0.0010734834523780203
