constraint,cluster_id,best_target_severity,f_angle,f_voltage,f_freq,composite,fault_bus,clear_time,wind_area1_pct,wind_area2_pct,solar_area1_pct,solar_area2_pct,load_area1,load_area2,gen_dispatch_bias
composite,0,1.0,1.0,1.0,1.0,1.0,7,0.2515572399832308,0.17626649480235929,0.33856871643922376,0.2419238300062716,0.016037005372345446,0.829637633549,0.9758122241965914,0.059332754742354166
f_angle,0,1.0,1.0,0.9960187683466543,0.3926352215331228,0.8471634974699442,4,0.2533452661707997,0.2442582229580656,0.37283601890781987,0.019576521310955285,0.06256219167262315,0.763924907410919,0.8935841815039555,-0.08702694280073046
f_freq,0,1.0,1.0,1.0,1.0,1.0,5,0.2468130135443699,0.006774876524490339,0.3528509606602138,0.13959616632551436,0.08063012457318185,0.9644029457492065,1.0283955824647848,-0.06704065754452165
composite,1,0.9990542719562059,1.0,0.9962170878248235,1.0,0.9990542719562059,10,0.18498700805939733,0.10641884598807787,0.22764007081383084,0.11801408529281615,0.027442209888249636,0.8251607490703463,0.9463476559081568,-0.009611715283244837
f_angle,1,1.0,1.0,0.9999999999969302,0.7017862719430106,0.9254465679849853,2,0.29503845814615487,0.20652842021048393,0.23708354775364898,0.2621605605818331,0.1585757128894329,0.8047257278114557,0.9212684972980266,0.10100303962826726
f_freq,1,1.0,1.0,0.9956899885144831,1.0,0.9989224971286208,8,0.28861893313005565,0.18426990186341857,0.13740641609692364,0.02637734720483422,0.0320182959549129,0.978993180533871,1.0009737441555688,-0.08657751185819507
composite,2,1.0,1.0,1.0,1.0,1.0,9,0.10725006153807044,0.14423545621978603,0.11252802818971251,0.24880111617967485,0.03378656152635812,0.7664146924857049,1.0817454947098257,0.011981211416423332
f_angle,2,1.0,1.0,1.0,0.5688894909410322,0.8922223727352581,6,0.11258470634929836,0.06837664882625484,0.222495153082071,0.21237623328343033,0.13397171013057232,1.0526556506287306,1.0376662103341268,-0.03408085992559791
f_freq,2,1.0,1.0,0.994185619208777,1.0,0.9985464048021943,3,0.1694301841314882,0.12109298343231102,0.12545095348104712,0.04508109586313367,0.14758274322375656,0.9285949571989476,1.1301803713385705,-0.01679220367223025
composite,3,1.0,1.0,1.0,1.0,1.0,9,0.09302003277730769,0.27715897810687207,0.16965995358481012,0.22566673006217058,0.0,1.0600241899991145,1.0189691824841038,0.015368324006714257
f_angle,3,1.0,1.0,0.9961909182044267,0.412375886844913,0.8521417012623349,10,0.17732892925851046,0.29154448204081845,0.1583469756281422,0.0073947482742369175,0.08171027451753617,1.093099037092179,0.9617024034136301,-0.03824649089947342
f_freq,3,1.0,0.9780562502670374,0.9965313505430802,1.0,0.9881609627692887,2,0.21172823566012083,0.06633756404754916,0.12036470505222126,0.28306210096925494,0.2339237568899989,1.082521972991526,0.8898854450296549,0.018043254688382138
composite,4,1.0,1.0,1.0,1.0,1.0,8,0.12342403754591942,0.20721783742652003,0.13508548548814492,0.18337298110127448,0.10438584191724658,0.7061212963266761,1.0631951642173054,0.0024394637905061356
f_angle,4,1.0,1.0,1.0,1.0,1.0,8,0.09887754656374455,0.2002690561207418,0.24544890477197054,0.11275672568008303,0.04637634269893169,1.017801872531683,1.0319986692377383,-0.059312571398913855
f_freq,4,1.0,1.0,1.0,1.0,1.0,2,0.05368966860696674,0.32761462187062723,0.03651067692073102,0.18781808149069548,0.03320146473124623,0.8943948172507745,1.1462660898329837,-0.12361594811081886
composite,5,1.0,1.0,1.0,1.0,1.0,3,0.27630624938756226,0.15468449241089455,0.16848658057071147,0.08822548766574856,0.04092461199273442,0.940306710651718,1.085093242639575,-0.022501140632332453
f_angle,5,1.0,1.0,1.0,0.42137462806771353,0.8553436570169284,2,0.2905969153624028,0.27387590542332,0.028502607626372106,0.12097111803027721,0.01678061549046334,0.7712942011029819,1.0355299468787913,-0.024322986044049172
f_freq,5,1.0,1.0,1.0,1.0,1.0,7,0.0770715057849884,0.3479721752915207,0.1437862282506122,0.11760946803710663,0.022867653217863035,0.8267288115224973,1.069387118150701,-0.0822008262554724
